Method,Mean,Variance,Skewness,Kurtosis,Entropy,Label
Hybrid,111.61352793375652,1738.5685933418501,0.8139102739175046,1.885274302530199,7.121060981323478,0
Entropy,121.782958984375,1981.9227011402447,0.9451104084359317,1.150761638286113,7.143604867623805,0
Chaotic,121.782958984375,1981.9227011402447,0.9451104084359317,1.150761638286113,7.143604867623805,0
Hybrid,121.782958984375,1981.9227011402447,0.9451104084359317,1.150761638286113,7.143604867623805,0
Entropy,121.66211954752605,3300.624067187205,0.8485161527471616,-0.3263436218426379,7.469885836459509,0
Chaotic,121.66211954752605,3300.624067187205,0.8485161527471616,-0.3263436218426379,7.469885836459509,0
Hybrid,121.66211954752605,3300.624067187205,0.8485161527471616,-0.3263436218426379,7.469885836459509,0
Entropy,113.46616872151692,2845.693104915624,1.3082116855295443,1.3742383225846941,7.020287743826996,0
Chaotic,113.46616872151692,2845.693104915624,1.3082116855295443,1.3742383225846941,7.020287743826996,0
Hybrid,113.46616872151692,2845.693104915624,1.3082116855295443,1.3742383225846941,7.020287743826996,0
Entropy,112.44724752732951,4132.563866491223,0.2240139350082366,-0.8863737456460807,7.841136371867042,0
Chaotic,112.44724752732951,4132.563866491223,0.2240139350082366,-0.8863737456460807,7.841136371867042,0
Hybrid,112.44724752732951,4132.563866491223,0.2240139350082366,-0.8863737456460807,7.841136371867042,0
Entropy,70.25497225405314,1818.6484963328408,0.939833635595748,1.0357752926252735,7.219061230431153,0
Chaotic,70.25497225405314,1818.6484963328408,0.939833635595748,1.0357752926252735,7.219061230431153,0
Hybrid,70.25497225405314,1818.6484963328408,0.939833635595748,1.0357752926252735,7.219061230431153,0
Entropy,153.9567774307363,3062.6417057582603,-0.5480880787427883,-0.5285200877598113,7.703131510492401,0
Chaotic,153.9567774307363,3062.6417057582603,-0.5480880787427883,-0.5285200877598113,7.703131510492401,0
Hybrid,153.9567774307363,3062.6417057582603,-0.5480880787427883,-0.5285200877598113,7.703131510492401,0
Entropy,119.4149813465209,2646.4028013270863,-0.5477203998236685,-0.2288737293583174,7.545486610376414,0
Chaotic,119.4149813465209,2646.4028013270863,-0.5477203998236685,-0.2288737293583174,7.545486610376414,0
Hybrid,119.4149813465209,2646.4028013270863,-0.5477203998236685,-0.2288737293583174,7.545486610376414,0
Entropy,117.77001923188155,3448.741122380914,-0.5426668898226135,-0.7706433655409799,7.592553072503678,0
Chaotic,117.77001923188155,3448.741122380914,-0.5426668898226135,-0.7706433655409799,7.592553072503678,0
Hybrid,117.77001923188155,3448.741122380914,-0.5426668898226135,-0.7706433655409799,7.592553072503678,0
Entropy,54.66534693555785,2708.1269281067607,2.7170325938650812,5.830441070243285,3.984952063713663,0
Chaotic,54.66534693555785,2708.1269281067607,2.7170325938650812,5.830441070243285,3.984952063713663,0
Hybrid,54.66534693555785,2708.1269281067607,2.7170325938650812,5.830441070243285,3.984952063713663,0
Entropy,111.68380228678386,1938.8417914670936,0.8509654160140583,0.5778730585891059,7.174666740739088,0
Chaotic,111.68380228678386,1938.8417914670936,0.8509654160140583,0.5778730585891059,7.174666740739088,0
Hybrid,111.68380228678386,1938.8417914670936,0.8509654160140583,0.5778730585891059,7.174666740739088,0
Entropy,125.30915611082192,2926.537575081709,-0.027587931529619095,-0.6561347292545818,7.742479350530567,0
Chaotic,125.30915611082192,2926.537575081709,-0.027587931529619095,-0.6561347292545818,7.742479350530567,0
Hybrid,125.30915611082192,2926.537575081709,-0.027587931529619095,-0.6561347292545818,7.742479350530567,0
Entropy,115.11357521110634,2526.2876844937587,0.07982305215082253,-0.6560169687159889,7.617777092844345,0
Chaotic,115.11357521110634,2526.2876844937587,0.07982305215082253,-0.6560169687159889,7.617777092844345,0
Hybrid,115.11357521110634,2526.2876844937587,0.07982305215082253,-0.6560169687159889,7.617777092844345,0
Entropy,134.91667116978024,4485.9818075283265,-0.08630348296805686,-1.1809573981878065,7.812641364829269,0
Chaotic,134.91667116978024,4485.9818075283265,-0.08630348296805686,-1.1809573981878065,7.812641364829269,0
Hybrid,134.91667116978024,4485.9818075283265,-0.08630348296805686,-1.1809573981878065,7.812641364829269,0
Entropy,97.0168347648794,2837.6229535477178,0.45013309601880697,-0.7460830065847666,7.631244608105319,0
Chaotic,97.0168347648794,2837.6229535477178,0.45013309601880697,-0.7460830065847666,7.631244608105319,0
Hybrid,97.0168347648794,2837.6229535477178,0.45013309601880697,-0.7460830065847666,7.631244608105319,0
Entropy,143.30340438258636,4085.674881617462,-0.11279527456272698,-1.2969673133699409,7.592945039318409,0
Chaotic,143.30340438258636,4085.674881617462,-0.11279527456272698,-1.2969673133699409,7.592945039318409,0
Hybrid,143.30340438258636,4085.674881617462,-0.11279527456272698,-1.2969673133699409,7.592945039318409,0
Entropy,131.8947270711263,1182.5358307574195,0.18355331561307936,0.6795485440330529,7.098278639919114,0
Chaotic,131.8947270711263,1182.5358307574195,0.18355331561307936,0.6795485440330529,7.098278639919114,0
Hybrid,131.8947270711263,1182.5358307574195,0.18355331561307936,0.6795485440330529,7.098278639919114,0
Entropy,91.50338745117188,2407.800932535591,0.9473228714260088,0.9400590489265013,7.446755142787435,0
Chaotic,91.50338745117188,2407.800932535591,0.9473228714260088,0.9400590489265013,7.446755142787435,0
Hybrid,91.50338745117188,2407.800932535591,0.9473228714260088,0.9400590489265013,7.446755142787435,0
Entropy,133.16755167643228,4309.694526736831,0.5241950600568812,-0.953978623723442,7.3809589449565145,0
Chaotic,133.16755167643228,4309.694526736831,0.5241950600568812,-0.953978623723442,7.3809589449565145,0
Hybrid,133.16755167643228,4309.694526736831,0.5241950600568812,-0.953978623723442,7.3809589449565145,0
Entropy,117.55901590983073,1687.3097851481032,-0.08143862447054903,-0.14890712135176765,7.1762375712773885,0
Chaotic,117.55901590983073,1687.3097851481032,-0.08143862447054903,-0.14890712135176765,7.1762375712773885,0
Hybrid,117.55901590983073,1687.3097851481032,-0.08143862447054903,-0.14890712135176765,7.1762375712773885,0
Entropy,127.9621073404948,4062.5961288436224,0.5369056162389858,-0.7073518968309647,7.640796555739088,0
Chaotic,127.9621073404948,4062.5961288436224,0.5369056162389858,-0.7073518968309647,7.640796555739088,0
Hybrid,127.9621073404948,4062.5961288436224,0.5369056162389858,-0.7073518968309647,7.640796555739088,0
Entropy,129.23665873209634,1651.1351903577388,-0.3449901489915825,0.5117118920921553,7.188768134168674,0
Chaotic,129.23665873209634,1651.1351903577388,-0.3449901489915825,0.5117118920921553,7.188768134168674,0
Hybrid,129.23665873209634,1651.1351903577388,-0.3449901489915825,0.5117118920921553,7.188768134168674,0
Entropy,119.76119740804036,1192.5052927597364,-0.3105827905017831,0.17246933761015937,7.048759249156832,1
Entropy,115.64744059244792,1629.4012094731959,0.4697092635657925,1.126680506544675,7.181538129287555,1
Entropy,93.0272954305013,1586.764465429037,0.47626636463617417,1.2927373327469915,6.92865899937957,1
Entropy,112.23707326253255,2704.9860860020776,0.9325780997847972,0.5292933993304523,7.445079680022247,1
Entropy,105.76325225830078,2954.6254665183565,0.521069791840357,-0.40824713055766715,7.642711683623974,1
Entropy,119.27335611979167,5045.917184187308,0.2573442721109076,-1.2877041030531402,7.804743815668676,1
Entropy,102.81261698404948,1919.7674846512325,0.9142703451725082,1.1626554371899358,7.220247040662407,1
Entropy,82.68426767985027,2203.4432742226177,0.34753327394108824,-0.4375052132904811,7.287187101936489,1
Entropy,80.5697250366211,2241.7122455563126,1.314271963337226,2.1585479468237407,7.293459281175763,1
Entropy,122.49761454264323,2621.3122908590713,0.8550479964725249,0.24414995441793685,7.456973915673857,1
Entropy,180.53538258870444,7514.066334335438,-0.5175132330824961,-1.4473057389701964,4.855329500118478,1
Entropy,142.8562774658203,773.2534578061508,-1.375830017442922,3.8055191264337376,6.241555917874284,1
Entropy,111.61352030436198,1738.568803610875,0.8139106216619884,1.8852737313520187,7.1210559948584855,1
Entropy,121.78292846679688,1981.9178152522072,0.9451091477300789,1.1507676164332672,7.143605116301926,1
Entropy,121.66206614176433,3300.6221466343777,0.8485193163053287,-0.32633757556180587,7.46988581923703,1
Entropy,113.46612803141277,2845.684363960902,1.308208870268689,1.3742325418263572,7.020462514413054,1
Entropy,112.44724571982185,4132.563796892224,0.2240140185092102,-0.8863736506102025,7.841136273559689,1
Entropy,70.25497198879552,1818.6484951418183,0.9398336580815564,1.0357753250541997,7.219062005070578,1
Entropy,153.95677598473017,3062.6421047309495,-0.5480883831072993,-0.5285191406826173,7.703131233796526,1
Entropy,119.41497990051478,2646.402705644804,-0.5477203793831733,-0.22887361849262877,7.545486361569533,1
Entropy,117.77001525536468,3448.7409575146617,-0.5426667532269149,-0.7706433148134137,7.592553151392266,1
Entropy,54.66533331900011,2708.127477271796,2.7170324344883414,5.830440393559055,3.9849979538057694,1
Entropy,111.68374633789062,1938.8422494496529,0.8509678882965944,0.5778747813837692,7.174736882066428,1
Entropy,125.30915394181271,2926.5375771458307,-0.027587810978617348,-0.6561347369447588,7.7424794928304275,1
Entropy,115.11357073851438,2526.2871318028056,0.0798229374793347,-0.6560165981493791,7.617777040145439,1
Entropy,134.9166673099686,4485.982177426963,-0.08630338813172533,-1.1809576330054246,7.812641313416372,1
Entropy,97.01683078836254,2837.623625712936,0.4501326182076354,-0.7460828154257024,7.631245499007415,1
Entropy,143.3033963585434,4085.673680691644,-0.11279546383886564,-1.296967174420171,7.592943299615263,1
Entropy,131.8946762084961,1182.5385768004733,0.18355359293911583,0.6795368911833859,7.098310484450626,1
Entropy,91.50332641601562,2407.7996512070918,0.9473271215273456,0.9400678319864917,7.44680804480661,1
Entropy,133.1674779256185,4309.690434115621,0.5241939053486602,-0.9539828845648319,7.381171175531741,1
Entropy,117.55894978841145,1687.3122140093603,-0.0814345605189819,-0.14891523326506828,7.176332576975213,1
Entropy,127.96204376220703,4062.5985527118705,0.5369073226003497,-0.7073519632710981,7.640839823705897,1
Entropy,129.23658752441406,1651.1388353032526,-0.3449859394207628,0.5116959793588505,7.188848759099735,1
Chaotic,119.76121266682942,1192.504755817037,-0.31058393657293987,0.1724723375830397,7.048750739327351,1
